As of,Rank,Year to Date Rank,Last Week Rank,Title,Type,Netflix Exclusive,Netflix Release Date,Days In Top 10,Viewership Score
02-05-2020,9,9,6,Ozark,TV Show,Yes,"Jul 21, 2017",36,246
02-05-2020,10,8,5,Waco,TV Show,,"Apr 16, 2020",14,71
03-05-2020,1,1,-,Dangerous Lies,Movie,Yes,"Apr 30, 2020",3,29
03-05-2020,2,2,-,Never Have I Ever,TV Show,Yes,"Apr 27, 2020",6,52
03-05-2020,3,3,2,Outer Banks,TV Show,Yes,"Apr 15, 2020",18,147
03-05-2020,4,4,1,Extraction,Movie,Yes,"Apr 24, 2020",9,80
03-05-2020,5,8,-,All Day and a Night,Movie,Yes,"May 1, 2020",2,9
03-05-2020,6,-,-,Hollywood,TV Show,Yes,"May 1, 2020",1,5
03-05-2020,7,-,-,Den of Thieves,Movie,,"May 1, 2020",1,4
03-05-2020,8,5,-,Murder to Mercy: The Cyntoi…,Movie,Yes,"Apr 29, 2020",4,21
03-05-2020,9,-,-,The Half of It,Movie,Yes,"May 1, 2020",1,2
03-05-2020,10,6,-,The Last Kingdom,TV Show,,"Jul 10, 2016",7,37
04-05-2020,1,1,-,Dangerous Lies,Movie,Yes,"Apr 30, 2020",4,39
04-05-2020,2,3,2,Outer Banks,TV Show,Yes,"Apr 15, 2020",19,156
04-05-2020,3,6,-,Hollywood,TV Show,Yes,"May 1, 2020",2,13
04-05-2020,4,5,-,All Day and a Night,Movie,Yes,"May 1, 2020",3,16
04-05-2020,5,2,-,Never Have I Ever,TV Show,Yes,"Apr 27, 2020",7,58
04-05-2020,6,4,1,Extraction,Movie,Yes,"Apr 24, 2020",10,85
04-05-2020,7,7,-,Den of Thieves,Movie,,"May 1, 2020",2,8
04-05-2020,8,8,-,Murder to Mercy: The Cyntoi…,Movie,Yes,"Apr 29, 2020",5,24
04-05-2020,9,10,7,The Last Kingdom,TV Show,,"Jul 10, 2016",8,39
04-05-2020,10,9,-,The Half of It,Movie,Yes,"May 1, 2020",2,3
05-05-2020,1,2,2,Outer Banks,TV Show,Yes,"Apr 15, 2020",20,166
05-05-2020,2,1,-,Dangerous Lies,Movie,Yes,"Apr 30, 2020",5,48
05-05-2020,3,3,-,Hollywood,TV Show,Yes,"May 1, 2020",3,21
05-05-2020,4,5,6,Never Have I Ever,TV Show,Yes,"Apr 27, 2020",8,65
05-05-2020,5,4,-,All Day and a Night,Movie,Yes,"May 1, 2020",4,22
05-05-2020,6,7,-,Den of Thieves,Movie,,"May 1, 2020",3,13
05-05-2020,7,6,1,Extraction,Movie,Yes,"Apr 24, 2020",11,89
05-05-2020,8,-,-,Arctic Dogs,Movie,,"May 4, 2020",1,3
05-05-2020,9,9,3,The Last Kingdom,TV Show,,"Jul 10, 2016",9,41
05-05-2020,10,8,-,Murder to Mercy: The Cyntoi…,Movie,Yes,"Apr 29, 2020",6,25
06-05-2020,1,1,3,Outer Banks,TV Show,Yes,"Apr 15, 2020",21,176
06-05-2020,2,3,-,Hollywood,TV Show,Yes,"May 1, 2020",4,30
06-05-2020,3,8,-,Arctic Dogs,Movie,,"May 4, 2020",2,11
06-05-2020,4,2,-,Dangerous Lies,Movie,Yes,"Apr 30, 2020",6,55
06-05-2020,5,4,2,Never Have I Ever,TV Show,Yes,"Apr 27, 2020",9,71
06-05-2020,6,-,-,Jerry Seinfeld: 23 Hours to…,Stand-Up Comedy,Yes,"May 5, 2020",1,5
06-05-2020,7,5,-,All Day and a Night,Movie,Yes,"May 1, 2020",5,26
06-05-2020,8,6,-,Den of Thieves,Movie,,"May 1, 2020",4,16
06-05-2020,9,7,1,Extraction,Movie,Yes,"Apr 24, 2020",12,91
06-05-2020,10,9,4,The Last Kingdom,TV Show,,"Jul 10, 2016",10,42
07-05-2020,1,1,3,Outer Banks,TV Show,Yes,"Apr 15, 2020",22,186
07-05-2020,2,2,-,Hollywood,TV Show,Yes,"May 1, 2020",5,39
07-05-2020,3,6,-,Jerry Seinfeld: 23 Hours to…,Stand-Up Comedy,Yes,"May 5, 2020",2,13
07-05-2020,4,5,1,Never Have I Ever,TV Show,Yes,"Apr 27, 2020",10,78
07-05-2020,5,-,-,Becoming,Movie,Yes,"May 6, 2020",1,6
07-05-2020,6,4,-,Dangerous Lies,Movie,Yes,"Apr 30, 2020",7,60
07-05-2020,7,-,-,Workinâ Moms,TV Show,Yes,"Feb 22, 2019",1,4
07-05-2020,8,3,-,Arctic Dogs,Movie,,"May 4, 2020",3,14
07-05-2020,9,8,-,Den of Thieves,Movie,,"May 1, 2020",5,18
07-05-2020,10,7,-,All Day and a Night,Movie,Yes,"May 1, 2020",6,27
08-05-2020,1,1,3,Outer Banks,TV Show,Yes,"Apr 15, 2020",23,196
08-05-2020,2,2,-,Hollywood,TV Show,Yes,"May 1, 2020",6,48
08-05-2020,3,5,-,Becoming,Movie,Yes,"May 6, 2020",2,14
08-05-2020,4,7,-,Workinâ Moms,TV Show,Yes,"Feb 22, 2019",2,11
08-05-2020,5,3,-,Jerry Seinfeld: 23 Hours to…,Stand-Up Comedy,Yes,"May 5, 2020",3,19
08-05-2020,6,4,1,Never Have I Ever,TV Show,Yes,"Apr 27, 2020",11,83
08-05-2020,7,9,-,Den of Thieves,Movie,,"May 1, 2020",6,22
08-05-2020,8,8,-,Arctic Dogs,Movie,,"May 4, 2020",4,17
08-05-2020,9,6,2,Dangerous Lies,Movie,Yes,"Apr 30, 2020",8,62
08-05-2020,10,-,9,Ozark,TV Show,Yes,"Jul 21, 2017",37,247
09-05-2020,1,-,-,Dead to Me,TV Show,Yes,"May 3, 2019",1,10
09-05-2020,2,1,3,Outer Banks,TV Show,Yes,"Apr 15, 2020",24,205
09-05-2020,3,2,-,Hollywood,TV Show,Yes,"May 1, 2020",7,56
09-05-2020,4,4,-,Workinâ Moms,TV Show,Yes,"Feb 22, 2019",3,18
09-05-2020,5,3,-,Becoming,Movie,Yes,"May 6, 2020",3,20
09-05-2020,6,-,-,Sleepless,Movie,,"May 9, 2020",1,5
09-05-2020,7,6,2,Never Have I Ever,TV Show,Yes,"Apr 27, 2020",12,87
09-05-2020,8,5,-,Jerry Seinfeld: 23 Hours to…,Stand-Up Comedy,Yes,"May 5, 2020",4,22
09-05-2020,9,7,-,Den of Thieves,Movie,,"May 1, 2020",7,24
09-05-2020,10,-,-,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",15,88
10-05-2020,1,1,-,Dead to Me,TV Show,Yes,"May 3, 2019",2,20
10-05-2020,2,2,3,Outer Banks,TV Show,Yes,"Apr 15, 2020",25,214
10-05-2020,3,6,-,Sleepless,Movie,,"May 9, 2020",2,13
10-05-2020,4,3,6,Hollywood,TV Show,Yes,"May 1, 2020",8,63
10-05-2020,5,5,-,Becoming,Movie,Yes,"May 6, 2020",4,26
10-05-2020,6,4,-,Workinâ Moms,TV Show,Yes,"Feb 22, 2019",4,23
10-05-2020,7,9,7,Den of Thieves,Movie,,"May 1, 2020",8,28
10-05-2020,8,8,-,Jerry Seinfeld: 23 Hours to…,Stand-Up Comedy,Yes,"May 5, 2020",5,25
10-05-2020,9,-,4,Extraction,Movie,Yes,"Apr 24, 2020",13,93
10-05-2020,10,7,2,Never Have I Ever,TV Show,Yes,"Apr 27, 2020",13,88
11-05-2020,1,1,-,Dead to Me,TV Show,Yes,"May 3, 2019",3,30
11-05-2020,2,2,2,Outer Banks,TV Show,Yes,"Apr 15, 2020",26,223
11-05-2020,3,-,-,John Henry,Movie,,"May 9, 2020",1,8
11-05-2020,4,3,-,Sleepless,Movie,,"May 9, 2020",3,20
11-05-2020,5,4,3,Hollywood,TV Show,Yes,"May 1, 2020",9,69
11-05-2020,6,5,-,Becoming,Movie,Yes,"May 6, 2020",5,31
11-05-2020,7,9,6,Extraction,Movie,Yes,"Apr 24, 2020",14,97
11-05-2020,8,7,7,Den of Thieves,Movie,,"May 1, 2020",9,31
11-05-2020,9,6,-,Workinâ Moms,TV Show,Yes,"Feb 22, 2019",5,25
11-05-2020,10,-,-,Ozark,TV Show,Yes,"Jul 21, 2017",38,248
12-05-2020,1,1,-,Dead to Me,TV Show,Yes,"May 3, 2019",4,40
12-05-2020,2,3,-,John Henry,Movie,,"May 9, 2020",2,17
12-05-2020,3,2,1,Outer Banks,TV Show,Yes,"Apr 15, 2020",27,231
12-05-2020,4,4,-,Sleepless,Movie,,"May 9, 2020",4,27
12-05-2020,5,5,3,Hollywood,TV Show,Yes,"May 1, 2020",10,75
12-05-2020,6,-,-,Greyâs Anatomy,TV Show,,"Sep 15, 2014",1,5
12-05-2020,7,10,-,Ozark,TV Show,Yes,"Jul 21, 2017",39,252
12-05-2020,8,9,-,Workinâ Moms,TV Show,Yes,"Feb 22, 2019",6,28
12-05-2020,9,-,4,Never Have I Ever,TV Show,Yes,"Apr 27, 2020",14,90
12-05-2020,10,-,9,The Last Kingdom,TV Show,,"Jul 10, 2016",11,43
13-05-2020,1,1,-,Dead to Me,TV Show,Yes,"May 3, 2019",5,50
13-05-2020,2,2,-,John Henry,Movie,,"May 9, 2020",3,26
13-05-2020,3,3,1,Outer Banks,TV Show,Yes,"Apr 15, 2020",28,239
13-05-2020,4,4,-,Sleepless,Movie,,"May 9, 2020",5,34
13-05-2020,5,-,-,Have a Good Trip: Adventure…,Movie,Yes,"May 11, 2020",1,6
13-05-2020,6,6,-,Greyâs Anatomy,TV Show,,"Sep 15, 2014",2,10
13-05-2020,7,-,-,Trial by Media,TV Show,Yes,"May 11, 2020",1,4
13-05-2020,8,5,2,Hollywood,TV Show,Yes,"May 1, 2020",11,78
13-05-2020,9,7,-,Ozark,TV Show,Yes,"Jul 21, 2017",40,254
13-05-2020,10,-,-,House at the End of the Street,Movie,,"May 8, 2013",1,1
14-05-2020,1,1,-,Dead to Me,TV Show,Yes,"May 3, 2019",6,60
14-05-2020,2,-,-,The Wrong Missy,Movie,Yes,"May 13, 2020",1,9
14-05-2020,3,3,1,Outer Banks,TV Show,Yes,"Apr 15, 2020",29,247
14-05-2020,4,2,-,John Henry,Movie,,"May 9, 2020",4,33
14-05-2020,5,7,-,Trial by Media,TV Show,Yes,"May 11, 2020",2,10
14-05-2020,6,5,-,Have a Good Trip: Adventure…,Movie,Yes,"May 11, 2020",2,11
14-05-2020,7,6,-,Greyâs Anatomy,TV Show,,"Sep 15, 2014",3,14
14-05-2020,8,4,-,Sleepless,Movie,,"May 9, 2020",6,37
14-05-2020,9,9,-,Ozark,TV Show,Yes,"Jul 21, 2017",41,256
14-05-2020,10,8,2,Hollywood,TV Show,Yes,"May 1, 2020",12,79
15-05-2020,1,2,-,The Wrong Missy,Movie,Yes,"May 13, 2020",2,19
15-05-2020,2,1,-,Dead to Me,TV Show,Yes,"May 3, 2019",7,69
15-05-2020,3,-,-,Riverdale,TV Show,,"May 19, 2017",1,8
15-05-2020,4,3,1,Outer Banks,TV Show,Yes,"Apr 15, 2020",30,254
15-05-2020,5,4,-,John Henry,Movie,,"May 9, 2020",5,39
15-05-2020,6,5,-,Trial by Media,TV Show,Yes,"May 11, 2020",3,15
15-05-2020,7,7,-,Greyâs Anatomy,TV Show,,"Sep 15, 2014",4,18
15-05-2020,8,9,10,Ozark,TV Show,Yes,"Jul 21, 2017",42,259
15-05-2020,9,6,-,Have a Good Trip: Adventure…,Movie,Yes,"May 11, 2020",3,13
15-05-2020,10,10,2,Hollywood,TV Show,Yes,"May 1, 2020",13,80
16-05-2020,1,1,-,The Wrong Missy,Movie,Yes,"May 13, 2020",3,29
16-05-2020,2,2,1,Dead to Me,TV Show,Yes,"May 3, 2019",8,78
16-05-2020,3,3,-,Riverdale,TV Show,,"May 19, 2017",2,16
16-05-2020,4,4,2,Outer Banks,TV Show,Yes,"Apr 15, 2020",31,261
16-05-2020,5,-,-,White Lines,TV Show,Yes,"May 15, 2020",1,6
16-05-2020,6,5,-,John Henry,Movie,,"May 9, 2020",6,44
16-05-2020,7,6,-,Trial by Media,TV Show,Yes,"May 11, 2020",4,19
16-05-2020,8,7,-,Greyâs Anatomy,TV Show,,"Sep 15, 2014",5,21
16-05-2020,9,8,-,Ozark,TV Show,Yes,"Jul 21, 2017",43,261
16-05-2020,10,9,-,Have a Good Trip: Adventure…,Movie,Yes,"May 11, 2020",4,14
17-05-2020,1,1,-,The Wrong Missy,Movie,Yes,"May 13, 2020",4,39
17-05-2020,2,2,1,Dead to Me,TV Show,Yes,"May 3, 2019",9,87
17-05-2020,3,3,-,Riverdale,TV Show,,"May 19, 2017",3,24
17-05-2020,4,5,-,White Lines,TV Show,Yes,"May 15, 2020",2,13
17-05-2020,5,4,2,Outer Banks,TV Show,Yes,"Apr 15, 2020",32,267
17-05-2020,6,-,-,Public Enemies,Movie,,"May 16, 2020",1,5
17-05-2020,7,6,-,John Henry,Movie,,"May 9, 2020",7,48
17-05-2020,8,-,-,Magic for Humans,TV Show,Yes,"Aug 17, 2018",1,3
17-05-2020,9,7,-,Trial by Media,TV Show,Yes,"May 11, 2020",5,21
17-05-2020,10,10,-,Have a Good Trip: Adventure…,Movie,Yes,"May 11, 2020",5,15
18-05-2020,1,1,-,The Wrong Missy,Movie,Yes,"May 13, 2020",5,49
18-05-2020,2,2,1,Dead to Me,TV Show,Yes,"May 3, 2019",10,96
18-05-2020,3,3,-,Riverdale,TV Show,,"May 19, 2017",4,32
18-05-2020,4,6,-,Public Enemies,Movie,,"May 16, 2020",2,12
18-05-2020,5,4,-,White Lines,TV Show,Yes,"May 15, 2020",3,19
18-05-2020,6,5,2,Outer Banks,TV Show,Yes,"Apr 15, 2020",33,272
18-05-2020,7,-,-,Soul Surfer,Movie,,"May 17, 2020",1,4
18-05-2020,8,8,-,Magic for Humans,TV Show,Yes,"Aug 17, 2018",2,6
18-05-2020,9,7,3,John Henry,Movie,,"May 9, 2020",8,50
18-05-2020,10,9,-,Trial by Media,TV Show,Yes,"May 11, 2020",6,22
19-05-2020,1,-,-,Avatar: The Last Airbender,TV Show,,"May 15, 2020",1,10
19-05-2020,2,1,-,The Wrong Missy,Movie,Yes,"May 13, 2020",6,58
19-05-2020,3,3,-,Riverdale,TV Show,,"May 19, 2017",5,40
19-05-2020,4,2,1,Dead to Me,TV Show,Yes,"May 3, 2019",11,103
19-05-2020,5,7,-,Soul Surfer,Movie,,"May 17, 2020",2,10
19-05-2020,6,5,-,White Lines,TV Show,Yes,"May 15, 2020",4,24
19-05-2020,7,6,3,Outer Banks,TV Show,Yes,"Apr 15, 2020",34,276
19-05-2020,8,4,-,Public Enemies,Movie,,"May 16, 2020",3,15
19-05-2020,9,8,-,Magic for Humans,TV Show,Yes,"Aug 17, 2018",3,8
19-05-2020,10,-,7,Ozark,TV Show,Yes,"Jul 21, 2017",44,262
20-05-2020,1,1,-,Avatar: The Last Airbender,TV Show,,"May 15, 2020",2,20
20-05-2020,2,2,-,The Wrong Missy,Movie,Yes,"May 13, 2020",7,67
20-05-2020,3,3,-,Riverdale,TV Show,,"May 19, 2017",6,48
20-05-2020,4,4,1,Dead to Me,TV Show,Yes,"May 3, 2019",12,110
20-05-2020,5,-,-,Sweet Magnolias,TV Show,Yes,"May 19, 2020",1,6
20-05-2020,6,6,-,White Lines,TV Show,Yes,"May 15, 2020",5,29
20-05-2020,7,7,3,Outer Banks,TV Show,Yes,"Apr 15, 2020",35,280
20-05-2020,8,5,-,Soul Surfer,Movie,,"May 17, 2020",3,13
20-05-2020,9,8,-,Public Enemies,Movie,,"May 16, 2020",4,17
20-05-2020,10,9,-,Magic for Humans,TV Show,Yes,"Aug 17, 2018",4,9
21-05-2020,1,1,-,Avatar: The Last Airbender,TV Show,,"May 15, 2020",3,30
21-05-2020,2,5,-,Sweet Magnolias,TV Show,Yes,"May 19, 2020",2,15
21-05-2020,3,3,-,Riverdale,TV Show,,"May 19, 2017",7,56
21-05-2020,4,4,1,Dead to Me,TV Show,Yes,"May 3, 2019",13,117
21-05-2020,5,2,2,The Wrong Missy,Movie,Yes,"May 13, 2020",8,73
21-05-2020,6,-,-,The Flash,TV Show,,"Oct 6, 2015",1,5
21-05-2020,7,6,-,White Lines,TV Show,Yes,"May 15, 2020",6,33
21-05-2020,8,7,3,Outer Banks,TV Show,Yes,"Apr 15, 2020",36,283
21-05-2020,9,8,-,Soul Surfer,Movie,,"May 17, 2020",4,15
21-05-2020,10,9,-,Public Enemies,Movie,,"May 16, 2020",5,18
22-05-2020,1,1,-,Avatar: The Last Airbender,TV Show,,"May 15, 2020",4,40
22-05-2020,2,2,-,Sweet Magnolias,TV Show,Yes,"May 19, 2020",3,24
22-05-2020,3,3,3,Riverdale,TV Show,,"May 19, 2017",8,64
22-05-2020,4,4,2,Dead to Me,TV Show,Yes,"May 3, 2019",14,124
22-05-2020,5,5,1,The Wrong Missy,Movie,Yes,"May 13, 2020",9,79
22-05-2020,6,6,-,The Flash,TV Show,,"Oct 6, 2015",2,10
22-05-2020,7,7,-,White Lines,TV Show,Yes,"May 15, 2020",7,37
22-05-2020,8,8,4,Outer Banks,TV Show,Yes,"Apr 15, 2020",37,286
22-05-2020,9,9,-,Soul Surfer,Movie,,"May 17, 2020",5,17
22-05-2020,10,10,-,Public Enemies,Movie,,"May 16, 2020",6,19
23-05-2020,1,1,-,Avatar: The Last Airbender,TV Show,,"May 15, 2020",5,50
23-05-2020,2,2,-,Sweet Magnolias,TV Show,Yes,"May 19, 2020",4,33
23-05-2020,3,-,-,The Lovebirds,Movie,Yes,"May 22, 2020",1,8
23-05-2020,4,3,3,Riverdale,TV Show,,"May 19, 2017",9,71
23-05-2020,5,4,2,Dead to Me,TV Show,Yes,"May 3, 2019",15,130
23-05-2020,6,5,1,The Wrong Missy,Movie,Yes,"May 13, 2020",10,84
23-05-2020,7,6,-,The Flash,TV Show,,"Oct 6, 2015",3,14
23-05-2020,8,7,5,White Lines,TV Show,Yes,"May 15, 2020",8,40
23-05-2020,9,8,4,Outer Banks,TV Show,Yes,"Apr 15, 2020",38,288
23-05-2020,10,-,-,Just Go With It,Movie,,"May 22, 2020",1,1
24-05-2020,1,2,-,Sweet Magnolias,TV Show,Yes,"May 19, 2020",5,43
24-05-2020,2,1,-,Avatar: The Last Airbender,TV Show,,"May 15, 2020",6,59
24-05-2020,3,3,-,The Lovebirds,Movie,Yes,"May 22, 2020",2,16
24-05-2020,4,6,1,The Wrong Missy,Movie,Yes,"May 13, 2020",11,91
24-05-2020,5,10,-,Just Go With It,Movie,,"May 22, 2020",2,7
24-05-2020,6,5,2,Dead to Me,TV Show,Yes,"May 3, 2019",16,135
24-05-2020,7,7,-,The Flash,TV Show,,"Oct 6, 2015",4,18
24-05-2020,8,4,3,Riverdale,TV Show,,"May 19, 2017",10,74
24-05-2020,9,8,4,White Lines,TV Show,Yes,"May 15, 2020",9,42
24-05-2020,10,9,5,Outer Banks,TV Show,Yes,"Apr 15, 2020",39,289
25-05-2020,1,1,-,Sweet Magnolias,TV Show,Yes,"May 19, 2020",6,53
25-05-2020,2,2,-,Avatar: The Last Airbender,TV Show,,"May 15, 2020",7,68
25-05-2020,3,3,-,The Lovebirds,Movie,Yes,"May 22, 2020",3,24
25-05-2020,4,4,1,The Wrong Missy,Movie,Yes,"May 13, 2020",12,98
25-05-2020,5,5,-,Just Go With It,Movie,,"May 22, 2020",3,13
25-05-2020,6,6,2,Dead to Me,TV Show,Yes,"May 3, 2019",17,140
25-05-2020,7,7,-,The Flash,TV Show,,"Oct 6, 2015",5,22
25-05-2020,8,-,-,History 101,TV Show,Yes,"May 22, 2020",1,3
25-05-2020,9,8,3,Riverdale,TV Show,,"May 19, 2017",11,76
25-05-2020,10,9,5,White Lines,TV Show,Yes,"May 15, 2020",10,43
26-05-2020,1,1,-,Sweet Magnolias,TV Show,Yes,"May 19, 2020",7,63
26-05-2020,2,2,1,Avatar: The Last Airbender,TV Show,,"May 15, 2020",8,77
26-05-2020,3,-,-,Uncut Gems,Movie,,"May 25, 2020",1,8
26-05-2020,4,3,-,The Lovebirds,Movie,Yes,"May 22, 2020",4,31
26-05-2020,5,8,-,History 101,TV Show,Yes,"May 22, 2020",2,9
26-05-2020,6,5,-,Just Go With It,Movie,,"May 22, 2020",4,18
26-05-2020,7,4,2,The Wrong Missy,Movie,Yes,"May 13, 2020",13,102
26-05-2020,8,6,4,Dead to Me,TV Show,Yes,"May 3, 2019",18,143
26-05-2020,9,9,3,Riverdale,TV Show,,"May 19, 2017",12,78
26-05-2020,10,7,-,The Flash,TV Show,,"Oct 6, 2015",6,23
27-05-2020,1,3,-,Uncut Gems,Movie,,"May 25, 2020",2,18
27-05-2020,2,1,5,Sweet Magnolias,TV Show,Yes,"May 19, 2020",8,72
27-05-2020,3,2,1,Avatar: The Last Airbender,TV Show,,"May 15, 2020",9,85
27-05-2020,4,5,-,History 101,TV Show,Yes,"May 22, 2020",3,16
27-05-2020,5,6,-,Just Go With It,Movie,,"May 22, 2020",5,24
27-05-2020,6,8,4,Dead to Me,TV Show,Yes,"May 3, 2019",19,148
27-05-2020,7,9,3,Riverdale,TV Show,,"May 19, 2017",13,82
27-05-2020,8,4,-,The Lovebirds,Movie,Yes,"May 22, 2020",5,34
27-05-2020,9,10,-,The Flash,TV Show,,"Oct 6, 2015",7,25
27-05-2020,10,7,2,The Wrong Missy,Movie,Yes,"May 13, 2020",14,103
28-05-2020,1,-,-,Jeffrey Epstein: Filthy Rich,TV Show,Yes,"May 27, 2020",1,10
28-05-2020,2,1,-,Uncut Gems,Movie,,"May 25, 2020",3,27
28-05-2020,3,2,2,Sweet Magnolias,TV Show,Yes,"May 19, 2020",9,80
28-05-2020,4,3,1,Avatar: The Last Airbender,TV Show,,"May 15, 2020",10,92
28-05-2020,5,6,4,Dead to Me,TV Show,Yes,"May 3, 2019",20,154
28-05-2020,6,7,3,Riverdale,TV Show,,"May 19, 2017",14,87
28-05-2020,7,4,-,History 101,TV Show,Yes,"May 22, 2020",4,20
28-05-2020,8,5,-,Just Go With It,Movie,,"May 22, 2020",6,27
28-05-2020,9,9,6,The Flash,TV Show,,"Oct 6, 2015",8,27
28-05-2020,10,8,-,The Lovebirds,Movie,Yes,"May 22, 2020",6,35
29-05-2020,1,1,-,Jeffrey Epstein: Filthy Rich,TV Show,Yes,"May 27, 2020",2,20
29-05-2020,2,2,-,Uncut Gems,Movie,,"May 25, 2020",4,36
29-05-2020,3,3,2,Sweet Magnolias,TV Show,Yes,"May 19, 2020",10,88
29-05-2020,4,4,1,Avatar: The Last Airbender,TV Show,,"May 15, 2020",11,99
29-05-2020,5,5,4,Dead to Me,TV Show,Yes,"May 3, 2019",21,160
29-05-2020,6,6,3,Riverdale,TV Show,,"May 19, 2017",15,92
29-05-2020,7,7,-,History 101,TV Show,Yes,"May 22, 2020",5,24
29-05-2020,8,9,6,The Flash,TV Show,,"Oct 6, 2015",9,30
29-05-2020,9,8,-,Just Go With It,Movie,,"May 22, 2020",7,29
29-05-2020,10,-,8,Outer Banks,TV Show,Yes,"Apr 15, 2020",40,290
30-05-2020,1,-,-,Space Force,TV Show,Yes,"May 29, 2020",1,10
30-05-2020,2,1,-,Jeffrey Epstein: Filthy Rich,TV Show,Yes,"May 27, 2020",3,29
30-05-2020,3,2,-,Uncut Gems,Movie,,"May 25, 2020",5,44
30-05-2020,4,3,2,Sweet Magnolias,TV Show,Yes,"May 19, 2020",11,95
30-05-2020,5,4,1,Avatar: The Last Airbender,TV Show,,"May 15, 2020",12,105
30-05-2020,6,5,5,Dead to Me,TV Show,Yes,"May 3, 2019",22,165
30-05-2020,7,6,4,Riverdale,TV Show,,"May 19, 2017",16,96
30-05-2020,8,8,7,The Flash,TV Show,,"Oct 6, 2015",10,33
30-05-2020,9,9,10,Just Go With It,Movie,,"May 22, 2020",8,31
30-05-2020,10,7,-,History 101,TV Show,Yes,"May 22, 2020",6,25
31-05-2020,1,1,-,Space Force,TV Show,Yes,"May 29, 2020",2,20
31-05-2020,2,2,-,Jeffrey Epstein: Filthy Rich,TV Show,Yes,"May 27, 2020",4,38
31-05-2020,3,3,-,Uncut Gems,Movie,,"May 25, 2020",6,52
31-05-2020,4,4,1,Sweet Magnolias,TV Show,Yes,"May 19, 2020",12,102
31-05-2020,5,5,2,Avatar: The Last Airbender,TV Show,,"May 15, 2020",13,111
31-05-2020,6,6,6,Dead to Me,TV Show,Yes,"May 3, 2019",23,170
31-05-2020,7,9,5,Just Go With It,Movie,,"May 22, 2020",9,35
31-05-2020,8,7,8,Riverdale,TV Show,,"May 19, 2017",17,99
31-05-2020,9,8,7,The Flash,TV Show,,"Oct 6, 2015",11,35
31-05-2020,10,10,-,History 101,TV Show,Yes,"May 22, 2020",7,26
01-06-2020,1,1,-,Space Force,TV Show,Yes,"May 29, 2020",3,30
01-06-2020,2,2,-,Jeffrey Epstein: Filthy Rich,TV Show,Yes,"May 27, 2020",5,47
01-06-2020,3,4,1,Sweet Magnolias,TV Show,Yes,"May 19, 2020",13,110
01-06-2020,4,3,-,Uncut Gems,Movie,,"May 25, 2020",7,59
01-06-2020,5,5,2,Avatar: The Last Airbender,TV Show,,"May 15, 2020",14,117
01-06-2020,6,6,6,Dead to Me,TV Show,Yes,"May 3, 2019",24,175
01-06-2020,7,8,9,Riverdale,TV Show,,"May 19, 2017",18,103
01-06-2020,8,7,5,Just Go With It,Movie,,"May 22, 2020",10,38
01-06-2020,9,10,8,History 101,TV Show,Yes,"May 22, 2020",8,28
01-06-2020,10,9,7,The Flash,TV Show,,"Oct 6, 2015",12,36
02-06-2020,1,1,-,Space Force,TV Show,Yes,"May 29, 2020",4,40
02-06-2020,2,2,-,Jeffrey Epstein: Filthy Rich,TV Show,Yes,"May 27, 2020",6,56
02-06-2020,3,3,1,Sweet Magnolias,TV Show,Yes,"May 19, 2020",14,118
02-06-2020,4,5,2,Avatar: The Last Airbender,TV Show,,"May 15, 2020",15,124
02-06-2020,5,4,3,Uncut Gems,Movie,,"May 25, 2020",8,65
02-06-2020,6,7,9,Riverdale,TV Show,,"May 19, 2017",19,108
02-06-2020,7,6,8,Dead to Me,TV Show,Yes,"May 3, 2019",25,179
02-06-2020,8,-,-,The Healer,Movie,,"Jun 1, 2020",1,3
02-06-2020,9,10,10,The Flash,TV Show,,"Oct 6, 2015",13,38
02-06-2020,10,-,-,Outer Banks,TV Show,Yes,"Apr 15, 2020",41,291
03-06-2020,1,1,-,Space Force,TV Show,Yes,"May 29, 2020",5,50
03-06-2020,2,2,-,Jeffrey Epstein: Filthy Rich,TV Show,Yes,"May 27, 2020",7,65
03-06-2020,3,-,-,Fuller House,TV Show,Yes,"Feb 26, 2016",1,8
03-06-2020,4,3,2,Sweet Magnolias,TV Show,Yes,"May 19, 2020",15,125
03-06-2020,5,4,3,Avatar: The Last Airbender,TV Show,,"May 15, 2020",16,130
03-06-2020,6,8,-,The Healer,Movie,,"Jun 1, 2020",2,8
03-06-2020,7,-,-,The Help,Movie,,"Jun 1, 2020",1,4
03-06-2020,8,-,-,Clueless,Movie,,"Jan 1, 2014",1,3
03-06-2020,9,5,1,Uncut Gems,Movie,,"May 25, 2020",9,67
03-06-2020,10,6,7,Riverdale,TV Show,,"May 19, 2017",20,109
04-06-2020,1,1,-,Space Force,TV Show,Yes,"May 29, 2020",6,60
04-06-2020,2,2,1,Jeffrey Epstein: Filthy Rich,TV Show,Yes,"May 27, 2020",8,74
04-06-2020,3,3,-,Fuller House,TV Show,Yes,"Feb 26, 2016",2,16
04-06-2020,4,4,3,Sweet Magnolias,TV Show,Yes,"May 19, 2020",16,132
04-06-2020,5,5,4,Avatar: The Last Airbender,TV Show,,"May 15, 2020",17,136
04-06-2020,6,7,-,The Help,Movie,,"Jun 1, 2020",2,9
04-06-2020,7,6,-,The Healer,Movie,,"Jun 1, 2020",3,12
04-06-2020,8,8,-,Clueless,Movie,,"Jan 1, 2014",2,6
